STATE,year,type,race,sex,value
AZ,2012,REFERRALS,ASIAN,MALE,28
AZ,2012,REFERRALS,BLACK,FEMALE,
AZ,2012,REFERRALS,BLACK,MALE,21
AZ,2012,REFERRALS,HISPANIC,FEMALE,
AZ,2012,REFERRALS,HISPANIC,MALE,426
AZ,2012,REFERRALS,WHITE,FEMALE,24
AZ,2012,REFERRALS,WHITE,MALE,757
AZ,2012,REFERRED,AMERICANINDIAN,FEMALE,66
AZ,2012,REFERRED,AMERICANINDIAN,MALE,303
AZ,2012,REFERRED,ASIAN,FEMALE,
AZ,2012,REFERRED,ASIAN,MALE,27
AZ,2012,REFERRED,BLACK,FEMALE,
AZ,2012,REFERRED,BLACK,MALE,21
AZ,2012,REFERRED,HISPANIC,FEMALE,
AZ,2012,REFERRED,HISPANIC,MALE,336
AZ,2012,REFERRED,WHITE,FEMALE,20
AZ,2012,REFERRED,WHITE,MALE,690
CA,2012,APPLICANTS,AMERICANINDIAN,FEMALE,23
CA,2012,APPLICANTS,AMERICANINDIAN,MALE,174
CA,2012,APPLICANTS,ASIAN,FEMALE,64
CA,2012,APPLICANTS,ASIAN,MALE,573
CA,2012,APPLICANTS,BLACK,FEMALE,210
CA,2012,APPLICANTS,BLACK,MALE,1375
CA,2012,APPLICANTS,HISPANIC,FEMALE,230
CA,2012,APPLICANTS,HISPANIC,MALE,8380
CA,2012,APPLICANTS,WHITE,FEMALE,534
CA,2012,APPLICANTS,WHITE,MALE,6633
CA,2012,MEMBERS,AMERICANINDIAN,FEMALE,404
CA,2012,MEMBERS,AMERICANINDIAN,MALE,3285
CA,2012,MEMBERS,ASIAN,FEMALE,1340
CA,2012,MEMBERS,ASIAN,MALE,7120
CA,2012,MEMBERS,BLACK,FEMALE,1931
CA,2012,MEMBERS,BLACK,MALE,12224
CA,2012,MEMBERS,HISPANIC,FEMALE,2499
CA,2012,MEMBERS,HISPANIC,MALE,69025
CA,2012,MEMBERS,WHITE,FEMALE,7000
CA,2012,MEMBERS,WHITE,MALE,107961
CA,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,11
CA,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,99
CA,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,16
CA,2012,REFERRALAPPLICANTS,ASIAN,MALE,299
CA,2012,REFERRALAPPLICANTS,BLACK,FEMALE,75
CA,2012,REFERRALAPPLICANTS,BLACK,MALE,978
CA,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,117
CA,2012,REFERRALAPPLICANTS,HISPANIC,MALE,6193
CA,2012,REFERRALAPPLICANTS,WHITE,FEMALE,344
CA,2012,REFERRALAPPLICANTS,WHITE,MALE,7805
CA,2012,REFERRALS,AMERICANINDIAN,FEMALE,50
CA,2012,REFERRALS,AMERICANINDIAN,MALE,590
CA,2012,REFERRALS,ASIAN,FEMALE,49
CA,2012,REFERRALS,ASIAN,MALE,760
CA,2012,REFERRALS,BLACK,FEMALE,170
CA,2012,REFERRALS,BLACK,MALE,1867
CA,2012,REFERRALS,HISPANIC,FEMALE,174
CA,2012,REFERRALS,HISPANIC,MALE,9099
CA,2012,REFERRALS,WHITE,FEMALE,948
CA,2012,REFERRALS,WHITE,MALE,17603
CA,2012,REFERRED,AMERICANINDIAN,FEMALE,22
CA,2012,REFERRED,AMERICANINDIAN,MALE,273
CA,2012,REFERRED,ASIAN,FEMALE,21
CA,2012,REFERRED,ASIAN,MALE,461
CA,2012,REFERRED,BLACK,FEMALE,93
CA,2012,REFERRED,BLACK,MALE,1201
CA,2012,REFERRED,HISPANIC,FEMALE,124
CA,2012,REFERRED,HISPANIC,MALE,6970
CA,2012,REFERRED,WHITE,FEMALE,455
CA,2012,REFERRED,WHITE,MALE,10628
CO,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
CO,2012,APPLICANTS,AMERICANINDIAN,MALE,12
CO,2012,APPLICANTS,ASIAN,FEMALE,
CO,2012,APPLICANTS,ASIAN,MALE,7
CO,2012,APPLICANTS,BLACK,FEMALE,4
CO,2012,APPLICANTS,BLACK,MALE,105
CO,2012,APPLICANTS,HISPANIC,FEMALE,14
CO,2012,APPLICANTS,HISPANIC,MALE,585
CO,2012,APPLICANTS,WHITE,FEMALE,30
