STATE,year,type,race,sex,value
NJ,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
NJ,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,8
NJ,2018,APPLICANTS,TWOORMORERACES,FEMALE,
NJ,2018,APPLICANTS,TWOORMORERACES,MALE,10
NJ,2018,APPLICANTS,WHITE,FEMALE,71
NJ,2018,APPLICANTS,WHITE,MALE,1899
NJ,2018,MEMBERS,AMERICANINDIAN,FEMALE,
NJ,2018,MEMBERS,AMERICANINDIAN,MALE,50
NJ,2018,MEMBERS,ASIAN,FEMALE,
NJ,2018,MEMBERS,ASIAN,MALE,115
NJ,2018,MEMBERS,BLACK,FEMALE,46
NJ,2018,MEMBERS,BLACK,MALE,1853
NJ,2018,MEMBERS,HISPANIC,FEMALE,31
NJ,2018,MEMBERS,HISPANIC,MALE,1966
NJ,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,
NJ,2018,MEMBERS,NATIVEHAWAIIAN,MALE,6
NJ,2018,MEMBERS,TWOORMORERACES,FEMALE,
NJ,2018,MEMBERS,TWOORMORERACES,MALE,93
NJ,2018,MEMBERS,WHITE,FEMALE,175
NJ,2018,MEMBERS,WHITE,MALE,13538
NJ,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
NJ,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,16
NJ,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,
NJ,2018,REFERRALAPPLICANTS,ASIAN,MALE,17
NJ,2018,REFERRALAPPLICANTS,BLACK,FEMALE,9
NJ,2018,REFERRALAPPLICANTS,BLACK,MALE,184
NJ,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,18
NJ,2018,REFERRALAPPLICANTS,HISPANIC,MALE,157
NJ,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
NJ,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
NJ,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
NJ,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
NJ,2018,REFERRALAPPLICANTS,WHITE,FEMALE,50
NJ,2018,REFERRALAPPLICANTS,WHITE,MALE,1641
NJ,2018,REFERRALS,AMERICANINDIAN,FEMALE,
NJ,2018,REFERRALS,AMERICANINDIAN,MALE,18
NJ,2018,REFERRALS,ASIAN,FEMALE,
NJ,2018,REFERRALS,ASIAN,MALE,23
NJ,2018,REFERRALS,BLACK,FEMALE,21
NJ,2018,REFERRALS,BLACK,MALE,360
NJ,2018,REFERRALS,HISPANIC,FEMALE,10
NJ,2018,REFERRALS,HISPANIC,MALE,284
NJ,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,
NJ,2018,REFERRALS,NATIVEHAWAIIAN,MALE,
NJ,2018,REFERRALS,TWOORMORERACES,FEMALE,
NJ,2018,REFERRALS,TWOORMORERACES,MALE,
NJ,2018,REFERRALS,WHITE,FEMALE,59
NJ,2018,REFERRALS,WHITE,MALE,2194
NJ,2018,REFERRED,AMERICANINDIAN,FEMALE,
NJ,2018,REFERRED,AMERICANINDIAN,MALE,14
NJ,2018,REFERRED,ASIAN,FEMALE,
NJ,2018,REFERRED,ASIAN,MALE,16
NJ,2018,REFERRED,BLACK,FEMALE,21
NJ,2018,REFERRED,BLACK,MALE,355
NJ,2018,REFERRED,HISPANIC,FEMALE,10
NJ,2018,REFERRED,HISPANIC,MALE,263
NJ,2018,REFERRED,NATIVEHAWAIIAN,FEMALE,
NJ,2018,REFERRED,NATIVEHAWAIIAN,MALE,
NJ,2018,REFERRED,TWOORMORERACES,FEMALE,
NJ,2018,REFERRED,TWOORMORERACES,MALE,
NJ,2018,REFERRED,WHITE,FEMALE,52
NJ,2018,REFERRED,WHITE,MALE,1856
NM,2018,APPLICANTS,AMERICANINDIAN,FEMALE,17
NM,2018,APPLICANTS,AMERICANINDIAN,MALE,97
NM,2018,APPLICANTS,ASIAN,FEMALE,6
NM,2018,APPLICANTS,ASIAN,MALE,
NM,2018,APPLICANTS,BLACK,FEMALE,3
NM,2018,APPLICANTS,BLACK,MALE,11
NM,2018,APPLICANTS,HISPANIC,FEMALE,67
NM,2018,APPLICANTS,HISPANIC,MALE,551
NM,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
NM,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,
NM,2018,APPLICANTS,TWOORMORERACES,FEMALE,32
NM,2018,APPLICANTS,TWOORMORERACES,MALE,150
NM,2018,APPLICANTS,WHITE,FEMALE,67
NM,2018,APPLICANTS,WHITE,MALE,211
NM,2018,MEMBERS,AMERICANINDIAN,FEMALE,104
NM,2018,MEMBERS,AMERICANINDIAN,MALE,864
NM,2018,MEMBERS,ASIAN,FEMALE,6
NM,2018,MEMBERS,ASIAN,MALE,15
NM,2018,MEMBERS,BLACK,FEMALE,4
NM,2018,MEMBERS,BLACK,MALE,148
NM,2018,MEMBERS,HISPANIC,FEMALE,409
NM,2018,MEMBERS,HISPANIC,MALE,4432
NM,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,
NM,2018,MEMBERS,NATIVEHAWAIIAN,MALE,
NM,2018,MEMBERS,TWOORMORERACES,FEMALE,188
NM,2018,MEMBERS,TWOORMORERACES,MALE,1145
NM,2018,MEMBERS,WHITE,FEMALE,147
NM,2018,MEMBERS,WHITE,MALE,2916
NM,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,37
NM,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,149
NM,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,
NM,2018,REFERRALAPPLICANTS,ASIAN,MALE,
NM,2018,REFERRALAPPLICANTS,BLACK,FEMALE,
NM,2018,REFERRALAPPLICANTS,BLACK,MALE,13
NM,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,94
NM,2018,REFERRALAPPLICANTS,HISPANIC,MALE,575
NM,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
NM,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
NM,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,55
NM,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,365
NM,2018,REFERRALAPPLICANTS,WHITE,FEMALE,13
NM,2018,REFERRALAPPLICANTS,WHITE,MALE,172
NM,2018,REFERRALS,AMERICANINDIAN,FEMALE,8
NM,2018,REFERRALS,AMERICANINDIAN,MALE,69
NM,2018,REFERRALS,ASIAN,FEMALE,
NM,2018,REFERRALS,ASIAN,MALE,
NM,2018,REFERRALS,BLACK,FEMALE,
NM,2018,REFERRALS,BLACK,MALE,
NM,2018,REFERRALS,HISPANIC,FEMALE,25
NM,2018,REFERRALS,HISPANIC,MALE,299
NM,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,
NM,2018,REFERRALS,NATIVEHAWAIIAN,MALE,
NM,2018,REFERRALS,TWOORMORERACES,FEMALE,16
NM,2018,REFERRALS,TWOORMORERACES,MALE,181
NM,2018,REFERRALS,WHITE,FEMALE,3
NM,2018,REFERRALS,WHITE,MALE,70
NM,2018,REFERRED,AMERICANINDIAN,FEMALE,8
NM,2018,REFERRED,AMERICANINDIAN,MALE,62
NM,2018,REFERRED,ASIAN,FEMALE,
NM,2018,REFERRED,ASIAN,MALE,
NM,2018,REFERRED,BLACK,FEMALE,
NM,2018,REFERRED,BLACK,MALE,
NM,2018,REFERRED,HISPANIC,FEMALE,25
NM,2018,REFERRED,HISPANIC,MALE,292
NM,2018,REFERRED,NATIVEHAWAIIAN,FEMALE,
NM,2018,REFERRED,NATIVEHAWAIIAN,MALE,
NM,2018,REFERRED,TWOORMORERACES,FEMALE,16
NM,2018,REFERRED,TWOORMORERACES,MALE,180
NM,2018,REFERRED,WHITE,FEMALE,3
NM,2018,REFERRED,WHITE,MALE,65
NV,2018,APPLICANTS,AMERICANINDIAN,FEMALE,10
NV,2018,APPLICANTS,AMERICANINDIAN,MALE,11
NV,2018,APPLICANTS,ASIAN,FEMALE,361
NV,2018,APPLICANTS,ASIAN,MALE,330
NV,2018,APPLICANTS,BLACK,FEMALE,511
NV,2018,APPLICANTS,BLACK,MALE,384
NV,2018,APPLICANTS,HISPANIC,FEMALE,1367
NV,2018,APPLICANTS,HISPANIC,MALE,1410
NV,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,30
NV,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,47
NV,2018,APPLICANTS,TWOORMORERACES,FEMALE,27
NV,2018,APPLICANTS,TWOORMORERACES,MALE,28
NV,2018,APPLICANTS,WHITE,FEMALE,655
NV,2018,APPLICANTS,WHITE,MALE,910
NV,2018,MEMBERS,AMERICANINDIAN,FEMALE,72
NV,2018,MEMBERS,AMERICANINDIAN,MALE,225
NV,2018,MEMBERS,ASIAN,FEMALE,3759
NV,2018,MEMBERS,ASIAN,MALE,3737
NV,2018,MEMBERS,BLACK,FEMALE,3178
NV,2018,MEMBERS,BLACK,MALE,3137
NV,2018,MEMBERS,HISPANIC,FEMALE,16160
NV,2018,MEMBERS,HISPANIC,MALE,15534
NV,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,210
NV,2018,MEMBERS,NATIVEHAWAIIAN,MALE,328
NV,2018,MEMBERS,TWOORMORERACES,FEMALE,37
NV,2018,MEMBERS,TWOORMORERACES,MALE,46
NV,2018,MEMBERS,WHITE,FEMALE,4938
NV,2018,MEMBERS,WHITE,MALE,10635
NV,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,7
NV,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,25
NV,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,32
NV,2018,REFERRALAPPLICANTS,ASIAN,MALE,53
NV,2018,REFERRALAPPLICANTS,BLACK,FEMALE,104
NV,2018,REFERRALAPPLICANTS,BLACK,MALE,380
NV,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,132
NV,2018,REFERRALAPPLICANTS,HISPANIC,MALE,764
NV,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
NV,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,37
NV,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
NV,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,30
NV,2018,REFERRALAPPLICANTS,WHITE,FEMALE,148
NV,2018,REFERRALAPPLICANTS,WHITE,MALE,1074
NV,2018,REFERRALS,AMERICANINDIAN,FEMALE,8
NV,2018,REFERRALS,AMERICANINDIAN,MALE,14
NV,2018,REFERRALS,ASIAN,FEMALE,82
NV,2018,REFERRALS,ASIAN,MALE,76
NV,2018,REFERRALS,BLACK,FEMALE,190
NV,2018,REFERRALS,BLACK,MALE,370
NV,2018,REFERRALS,HISPANIC,FEMALE,274
NV,2018,REFERRALS,HISPANIC,MALE,918
NV,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,3
NV,2018,REFERRALS,NATIVEHAWAIIAN,MALE,29
NV,2018,REFERRALS,TWOORMORERACES,FEMALE,4
NV,2018,REFERRALS,TWOORMORERACES,MALE,10
NV,2018,REFERRALS,WHITE,FEMALE,192
NV,2018,REFERRALS,WHITE,MALE,928
NV,2018,REFERRED,AMERICANINDIAN,FEMALE,4
NV,2018,REFERRED,AMERICANINDIAN,MALE,11
NV,2018,REFERRED,ASIAN,FEMALE,23
NV,2018,REFERRED,ASIAN,MALE,43
NV,2018,REFERRED,BLACK,FEMALE,89
NV,2018,REFERRED,BLACK,MALE,190
NV,2018,REFERRED,HISPANIC,FEMALE,119
NV,2018,REFERRED,HISPANIC,MALE,598
NV,2018,REFERRED,NATIVEHAWAIIAN,FEMALE,
NV,2018,REFERRED,NATIVEHAWAIIAN,MALE,29
NV,2018,REFERRED,TWOORMORERACES,FEMALE,4
NV,2018,REFERRED,TWOORMORERACES,MALE,10
NV,2018,REFERRED,WHITE,FEMALE,105
NV,2018,REFERRED,WHITE,MALE,666
NY,2018,APPLICANTS,AMERICANINDIAN,FEMALE,
NY,2018,APPLICANTS,AMERICANINDIAN,MALE,37
NY,2018,APPLICANTS,ASIAN,FEMALE,4
NY,2018,APPLICANTS,ASIAN,MALE,98
NY,2018,APPLICANTS,BLACK,FEMALE,31
NY,2018,APPLICANTS,BLACK,MALE,609
NY,2018,APPLICANTS,HISPANIC,FEMALE,92
NY,2018,APPLICANTS,HISPANIC,MALE,961
NY,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
NY,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,28
NY,2018,APPLICANTS,TWOORMORERACES,FEMALE,
NY,2018,APPLICANTS,TWOORMORERACES,MALE,71
NY,2018,APPLICANTS,WHITE,FEMALE,93
NY,2018,APPLICANTS,WHITE,MALE,3002
NY,2018,MEMBERS,AMERICANINDIAN,FEMALE,18
NY,2018,MEMBERS,AMERICANINDIAN,MALE,590
NY,2018,MEMBERS,ASIAN,FEMALE,12
NY,2018,MEMBERS,ASIAN,MALE,805
NY,2018,MEMBERS,BLACK,FEMALE,498
NY,2018,MEMBERS,BLACK,MALE,6832
NY,2018,MEMBERS,HISPANIC,FEMALE,892
NY,2018,MEMBERS,HISPANIC,MALE,12898
NY,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,8
NY,2018,MEMBERS,NATIVEHAWAIIAN,MALE,139
NY,2018,MEMBERS,TWOORMORERACES,FEMALE,10
NY,2018,MEMBERS,TWOORMORERACES,MALE,891
NY,2018,MEMBERS,WHITE,FEMALE,774
NY,2018,MEMBERS,WHITE,MALE,45648
NY,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,6
NY,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,99
NY,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,3
NY,2018,REFERRALAPPLICANTS,ASIAN,MALE,129
NY,2018,REFERRALAPPLICANTS,BLACK,FEMALE,127
NY,2018,REFERRALAPPLICANTS,BLACK,MALE,1223
NY,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,531
NY,2018,REFERRALAPPLICANTS,HISPANIC,MALE,2758
NY,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
NY,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,8
NY,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
NY,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,22
NY,2018,REFERRALAPPLICANTS,WHITE,FEMALE,143
NY,2018,REFERRALAPPLICANTS,WHITE,MALE,4710
NY,2018,REFERRALS,AMERICANINDIAN,FEMALE,19
NY,2018,REFERRALS,AMERICANINDIAN,MALE,127
NY,2018,REFERRALS,ASIAN,FEMALE,12
NY,2018,REFERRALS,ASIAN,MALE,106
NY,2018,REFERRALS,BLACK,FEMALE,361
NY,2018,REFERRALS,BLACK,MALE,1723
NY,2018,REFERRALS,HISPANIC,FEMALE,105
NY,2018,REFERRALS,HISPANIC,MALE,1989
NY,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,
NY,2018,REFERRALS,NATIVEHAWAIIAN,MALE,13
NY,2018,REFERRALS,TWOORMORERACES,FEMALE,16
NY,2018,REFERRALS,TWOORMORERACES,MALE,45
NY,2018,REFERRALS,WHITE,FEMALE,265
NY,2018,REFERRALS,WHITE,MALE,4452
NY,2018,REFERRED,AMERICANINDIAN,FEMALE,18
NY,2018,REFERRED,AMERICANINDIAN,MALE,110
NY,2018,REFERRED,ASIAN,FEMALE,12
NY,2018,REFERRED,ASIAN,MALE,85
NY,2018,REFERRED,BLACK,FEMALE,212
NY,2018,REFERRED,BLACK,MALE,953
NY,2018,REFERRED,HISPANIC,FEMALE,45
NY,2018,REFERRED,HISPANIC,MALE,801
NY,2018,REFERRED,NATIVEHAWAIIAN,FEMALE,
NY,2018,REFERRED,NATIVEHAWAIIAN,MALE,10
NY,2018,REFERRED,TWOORMORERACES,FEMALE,16
NY,2018,REFERRED,TWOORMORERACES,MALE,42
NY,2018,REFERRED,WHITE,FEMALE,189
NY,2018,REFERRED,WHITE,MALE,3095
OH,2018,APPLICANTS,AMERICANINDIAN,FEMALE,9
OH,2018,APPLICANTS,AMERICANINDIAN,MALE,12
OH,2018,APPLICANTS,ASIAN,FEMALE,
OH,2018,APPLICANTS,ASIAN,MALE,8
OH,2018,APPLICANTS,BLACK,FEMALE,222
OH,2018,APPLICANTS,BLACK,MALE,505
OH,2018,APPLICANTS,HISPANIC,FEMALE,22
OH,2018,APPLICANTS,HISPANIC,MALE,191
OH,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
OH,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,12
OH,2018,APPLICANTS,TWOORMORERACES,FEMALE,
OH,2018,APPLICANTS,TWOORMORERACES,MALE,13
OH,2018,APPLICANTS,WHITE,FEMALE,327
OH,2018,APPLICANTS,WHITE,MALE,5518
OH,2018,MEMBERS,AMERICANINDIAN,FEMALE,20
OH,2018,MEMBERS,AMERICANINDIAN,MALE,237
OH,2018,MEMBERS,ASIAN,FEMALE,28
OH,2018,MEMBERS,ASIAN,MALE,101
OH,2018,MEMBERS,BLACK,FEMALE,508
OH,2018,MEMBERS,BLACK,MALE,3485
OH,2018,MEMBERS,HISPANIC,FEMALE,98
OH,2018,MEMBERS,HISPANIC,MALE,2617
OH,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,4
OH,2018,MEMBERS,NATIVEHAWAIIAN,MALE,45
OH,2018,MEMBERS,TWOORMORERACES,FEMALE,21
OH,2018,MEMBERS,TWOORMORERACES,MALE,95
OH,2018,MEMBERS,WHITE,FEMALE,1794
OH,2018,MEMBERS,WHITE,MALE,45629
OH,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,3
OH,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,29
OH,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,
OH,2018,REFERRALAPPLICANTS,ASIAN,MALE,14
OH,2018,REFERRALAPPLICANTS,BLACK,FEMALE,57
OH,2018,REFERRALAPPLICANTS,BLACK,MALE,509
OH,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,20
OH,2018,REFERRALAPPLICANTS,HISPANIC,MALE,161
OH,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
OH,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
OH,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,13
OH,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,7
OH,2018,REFERRALAPPLICANTS,WHITE,FEMALE,299
OH,2018,REFERRALAPPLICANTS,WHITE,MALE,5698
OH,2018,REFERRALS,AMERICANINDIAN,FEMALE,3
OH,2018,REFERRALS,AMERICANINDIAN,MALE,30
OH,2018,REFERRALS,ASIAN,FEMALE,3
OH,2018,REFERRALS,ASIAN,MALE,12
OH,2018,REFERRALS,BLACK,FEMALE,61
OH,2018,REFERRALS,BLACK,MALE,552
OH,2018,REFERRALS,HISPANIC,FEMALE,15
OH,2018,REFERRALS,HISPANIC,MALE,175
OH,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,
OH,2018,REFERRALS,NATIVEHAWAIIAN,MALE,3
OH,2018,REFERRALS,TWOORMORERACES,FEMALE,
OH,2018,REFERRALS,TWOORMORERACES,MALE,11
OH,2018,REFERRALS,WHITE,FEMALE,397
OH,2018,REFERRALS,WHITE,MALE,5604
OH,2018,REFERRED,AMERICANINDIAN,FEMALE,
OH,2018,REFERRED,AMERICANINDIAN,MALE,24
OH,2018,REFERRED,ASIAN,FEMALE,3
OH,2018,REFERRED,ASIAN,MALE,10
OH,2018,REFERRED,BLACK,FEMALE,48
OH,2018,REFERRED,BLACK,MALE,480
OH,2018,REFERRED,HISPANIC,FEMALE,11
OH,2018,REFERRED,HISPANIC,MALE,141
OH,2018,REFERRED,NATIVEHAWAIIAN,FEMALE,
OH,2018,REFERRED,NATIVEHAWAIIAN,MALE,3
OH,2018,REFERRED,TWOORMORERACES,FEMALE,
OH,2018,REFERRED,TWOORMORERACES,MALE,7
OH,2018,REFERRED,WHITE,FEMALE,359
OH,2018,REFERRED,WHITE,MALE,4994
OK,2018,APPLICANTS,AMERICANINDIAN,FEMALE,
OK,2018,APPLICANTS,AMERICANINDIAN,MALE,134
OK,2018,APPLICANTS,ASIAN,FEMALE,
OK,2018,APPLICANTS,ASIAN,MALE,5
OK,2018,APPLICANTS,BLACK,FEMALE,15
OK,2018,APPLICANTS,BLACK,MALE,56
OK,2018,APPLICANTS,HISPANIC,FEMALE,15
OK,2018,APPLICANTS,HISPANIC,MALE,53
OK,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
OK,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,11
OK,2018,APPLICANTS,TWOORMORERACES,FEMALE,
OK,2018,APPLICANTS,TWOORMORERACES,MALE,21
OK,2018,APPLICANTS,WHITE,FEMALE,67
OK,2018,APPLICANTS,WHITE,MALE,1320
OK,2018,MEMBERS,AMERICANINDIAN,FEMALE,61
OK,2018,MEMBERS,AMERICANINDIAN,MALE,1008
OK,2018,MEMBERS,ASIAN,FEMALE,
OK,2018,MEMBERS,ASIAN,MALE,23
OK,2018,MEMBERS,BLACK,FEMALE,53
OK,2018,MEMBERS,BLACK,MALE,528
OK,2018,MEMBERS,HISPANIC,FEMALE,38
OK,2018,MEMBERS,HISPANIC,MALE,504
OK,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,
OK,2018,MEMBERS,NATIVEHAWAIIAN,MALE,17
OK,2018,MEMBERS,TWOORMORERACES,FEMALE,
OK,2018,MEMBERS,TWOORMORERACES,MALE,26
OK,2018,MEMBERS,WHITE,FEMALE,503
OK,2018,MEMBERS,WHITE,MALE,10846
OK,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
OK,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,60
OK,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,
OK,2018,REFERRALAPPLICANTS,ASIAN,MALE,
OK,2018,REFERRALAPPLICANTS,BLACK,FEMALE,
OK,2018,REFERRALAPPLICANTS,BLACK,MALE,44
OK,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,
OK,2018,REFERRALAPPLICANTS,HISPANIC,MALE,23
OK,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
OK,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
OK,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
OK,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,8
OK,2018,REFERRALAPPLICANTS,WHITE,FEMALE,16
OK,2018,REFERRALAPPLICANTS,WHITE,MALE,492
OK,2018,REFERRALS,AMERICANINDIAN,FEMALE,
OK,2018,REFERRALS,AMERICANINDIAN,MALE,85
OK,2018,REFERRALS,ASIAN,FEMALE,
OK,2018,REFERRALS,ASIAN,MALE,4
OK,2018,REFERRALS,BLACK,FEMALE,4
OK,2018,REFERRALS,BLACK,MALE,54
OK,2018,REFERRALS,HISPANIC,FEMALE,5
OK,2018,REFERRALS,HISPANIC,MALE,50
OK,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,
OK,2018,REFERRALS,NATIVEHAWAIIAN,MALE,4
OK,2018,REFERRALS,TWOORMORERACES,FEMALE,
OK,2018,REFERRALS,TWOORMORERACES,MALE,8
OK,2018,REFERRALS,WHITE,FEMALE,32
OK,2018,REFERRALS,WHITE,MALE,909
OK,2018,REFERRED,AMERICANINDIAN,FEMALE,
OK,2018,REFERRED,AMERICANINDIAN,MALE,83
OK,2018,REFERRED,ASIAN,FEMALE,
OK,2018,REFERRED,ASIAN,MALE,4
OK,2018,REFERRED,BLACK,FEMALE,4
OK,2018,REFERRED,BLACK,MALE,54
OK,2018,REFERRED,HISPANIC,FEMALE,5
OK,2018,REFERRED,HISPANIC,MALE,50
OK,2018,REFERRED,NATIVEHAWAIIAN,FEMALE,
OK,2018,REFERRED,NATIVEHAWAIIAN,MALE,4
OK,2018,REFERRED,TWOORMORERACES,FEMALE,
OK,2018,REFERRED,TWOORMORERACES,MALE,8
OK,2018,REFERRED,WHITE,FEMALE,32
OK,2018,REFERRED,WHITE,MALE,906
OR,2018,APPLICANTS,AMERICANINDIAN,FEMALE,3
OR,2018,APPLICANTS,AMERICANINDIAN,MALE,27
OR,2018,APPLICANTS,ASIAN,FEMALE,
OR,2018,APPLICANTS,ASIAN,MALE,22
OR,2018,APPLICANTS,BLACK,FEMALE,8
OR,2018,APPLICANTS,BLACK,MALE,78
OR,2018,APPLICANTS,HISPANIC,FEMALE,21
OR,2018,APPLICANTS,HISPANIC,MALE,386
OR,2018,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
OR,2018,APPLICANTS,NATIVEHAWAIIAN,MALE,12
OR,2018,APPLICANTS,TWOORMORERACES,FEMALE,34
OR,2018,APPLICANTS,TWOORMORERACES,MALE,341
OR,2018,APPLICANTS,WHITE,FEMALE,151
OR,2018,APPLICANTS,WHITE,MALE,1472
OR,2018,MEMBERS,AMERICANINDIAN,FEMALE,28
OR,2018,MEMBERS,AMERICANINDIAN,MALE,292
OR,2018,MEMBERS,ASIAN,FEMALE,21
OR,2018,MEMBERS,ASIAN,MALE,142
OR,2018,MEMBERS,BLACK,FEMALE,41
OR,2018,MEMBERS,BLACK,MALE,386
OR,2018,MEMBERS,HISPANIC,FEMALE,81
OR,2018,MEMBERS,HISPANIC,MALE,1994
OR,2018,MEMBERS,NATIVEHAWAIIAN,FEMALE,3
OR,2018,MEMBERS,NATIVEHAWAIIAN,MALE,140
OR,2018,MEMBERS,TWOORMORERACES,FEMALE,107
OR,2018,MEMBERS,TWOORMORERACES,MALE,2328
OR,2018,MEMBERS,WHITE,FEMALE,1037
OR,2018,MEMBERS,WHITE,MALE,16940
OR,2018,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,5
OR,2018,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,29
OR,2018,REFERRALAPPLICANTS,ASIAN,FEMALE,
OR,2018,REFERRALAPPLICANTS,ASIAN,MALE,10
OR,2018,REFERRALAPPLICANTS,BLACK,FEMALE,16
OR,2018,REFERRALAPPLICANTS,BLACK,MALE,63
OR,2018,REFERRALAPPLICANTS,HISPANIC,FEMALE,19
OR,2018,REFERRALAPPLICANTS,HISPANIC,MALE,273
OR,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,5
OR,2018,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
OR,2018,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,38
OR,2018,REFERRALAPPLICANTS,TWOORMORERACES,MALE,277
OR,2018,REFERRALAPPLICANTS,WHITE,FEMALE,108
OR,2018,REFERRALAPPLICANTS,WHITE,MALE,1422
OR,2018,REFERRALS,AMERICANINDIAN,FEMALE,10
OR,2018,REFERRALS,AMERICANINDIAN,MALE,39
OR,2018,REFERRALS,ASIAN,FEMALE,3
OR,2018,REFERRALS,ASIAN,MALE,17
OR,2018,REFERRALS,BLACK,FEMALE,45
OR,2018,REFERRALS,BLACK,MALE,64
OR,2018,REFERRALS,HISPANIC,FEMALE,28
OR,2018,REFERRALS,HISPANIC,MALE,329
OR,2018,REFERRALS,NATIVEHAWAIIAN,FEMALE,5
OR,2018,REFERRALS,NATIVEHAWAIIAN,MALE,9
OR,2018,REFERRALS,TWOORMORERACES,FEMALE,67
OR,2018,REFERRALS,TWOORMORERACES,MALE,362
OR,2018,REFERRALS,WHITE,FEMALE,137
OR,2018,REFERRALS,WHITE,MALE,1619
